Year,State,TotalVotes,DemocratVotes,DemocratElectoralVotes,RepublicanVotes,RepublicanElectoralVotes
2012,North Dakota,322932,124966,0,188320,3
2016,North Dakota,344360,93758,0,216794,3
2020,North Dakota,361819,114902,0,235595,3
1976,Ohio,4111873,2011621,25,2000505,0
1980,Ohio,4283603,2206545,25,1752414,0
1984,Ohio,4547619,2678560,23,1825440,0
1988,Ohio,4393699,2416549,23,1939629,0
1992,Ohio,4939967,1984942,21,1894310,0
1996,Ohio,4534434,2148222,21,1859883,0
2000,Ohio,4701998,2350363,21,2183628,0
2004,Ohio,5627908,2859768,20,2741167,0
2008,Ohio,5698260,2933388,20,2674491,0
2012,Ohio,5580822,2827621,18,2661407,0
2016,Ohio,5496487,2394164,0,2841005,18
2020,Ohio,5922202,2679165,0,3154834,18
1976,Oklahoma,1092251,532442,0,545708,8
1980,Oklahoma,1149708,695570,8,402026,0
1984,Oklahoma,1255676,861530,8,385080,0
1988,Oklahoma,1171036,678367,8,483423,0
1992,Oklahoma,1390359,473066,0,592929,8
1996,Oklahoma,1206713,488105,0,582315,8
2000,Oklahoma,1234229,744337,8,474276,0
2004,Oklahoma,1463758,959792,7,503966,0
2008,Oklahoma,1462661,502496,0,960165,7
2012,Oklahoma,1334872,443547,0,891325,7
2016,Oklahoma,1452992,420375,0,949136,7
2020,Oklahoma,1560699,503890,0,1020280,7
1976,Oregon,1029876,490407,0,492120,6
1980,Oregon,1181516,571044,6,456890,0
1984,Oregon,1226527,685700,7,536479,0
1988,Oregon,1201694,560126,0,616206,7
1992,Oregon,1462643,621314,7,475757,0
1996,Oregon,1377760,649641,7,538152,0
2000,Oregon,1533968,713577,0,720342,7
2004,Oregon,1836782,866831,0,943163,7
2008,Oregon,1827864,1037291,7,738475,0
2012,Oregon,1789270,970488,7,754175,0
2016,Oregon,2001336,1002106,7,782403,0
2020,Oregon,2374321,1340383,7,958448,0
1976,Pennsylvania,4620787,2328677,27,2205604,0
1980,Pennsylvania,4561501,2261872,27,1937540,0
1984,Pennsylvania,4844903,2584323,25,2228131,0
1988,Pennsylvania,4536251,2300087,25,2194944,0
1992,Pennsylvania,4959810,2239164,23,1791841,0
1996,Pennsylvania,4506118,2215819,23,1801169,0
2000,Pennsylvania,4913119,2281127,0,2485967,23
2004,Pennsylvania,5769590,2793847,0,2938095,21
2008,Pennsylvania,6034745,3276363,21,2655885,0
2012,Pennsylvania,5753670,2990274,20,2680434,0
2016,Pennsylvania,6115402,2926441,0,2970733,20
2020,Pennsylvania,6915283,3458229,20,3377674,0
1976,Rhode Island,411170,227636,4,181249,0
1980,Rhode Island,416072,154793,0,198342,4
1984,Rhode Island,410492,212080,4,197106,0
1988,Rhode Island,404620,177761,0,225123,4
1992,Rhode Island,453477,213299,4,131601,0
1996,Rhode Island,390284,233050,4,104683,0
2000,Rhode Island,409047,130555,0,249508,4
2004,Rhode Island,437134,169046,0,259765,4
2008,Rhode Island,469767,296571,4,165391,0
2012,Rhode Island,446049,279677,4,157204,0
2016,Rhode Island,464144,252525,4,180543,0
